city,latitude,longitude
Agra,27.18,78.02
Ahmedabad,23.03,72.58
Aligarh,27.88,78.08
Ambattar,13.1143,80.1548
Amritsar,31.64,74.86
Aurangabad,19.88,75.32
Bagalur,13.1328,77.6685
Baj Baj,22.4828,88.1818
Balasore,21.4942,86.9317
Bangalore,12.9789,77.5917
Bansberia,22.97,88.4
Barikpur,22.7642,88.3776
Bhalswa Jahangirpuri,28.7354,77.1638
Bhatapra,22.87,88.41
Bhayandar,19.29,72.85
Bhopal,23.25,77.4167
Bilaspur,22.09,82.15
Byatarayanpur,13.0659,77.5922
Cawnpore,26.4499,80.3319
Chakapara,22.63,88.35
Chandannagar,22.8671,88.3674
Chandigarh,30.75,76.78
Chennai,13.0825,80.275
Chinchvad,18.6186,73.8037
Chinnasekkadu,13.1609,80.2573
Dam Dam,22.62,88.42
Darbhanga,26.17,85.9
Dasarhalli,13.0465,77.513
Delhi,28.61,77.23
Dhanbad,23.7998,86.4305
Faridabad,28.4167,77.3
Ghaziabad,28.67,77.42
Guwahati,26.1722,91.7458
Gwalior,26.2215,78.178
Haora,22.58,88.3294
Herohalli,12.9911,77.4873
Hugli,22.9089,88.3967
Hyderabad,17.385,78.4867
Indore,22.7167,75.8472
Jabalpur,23.1667,79.9333
Jaipur,26.9,75.8
Jalahalli,13.0333,77.55
Jamshedpur,22.7925,86.1842
Jethuli,25.5378,85.2841
Jodhpur,26.28,73.02
Kakatpalli,17.4849,78.4138
Kalamboli,19.2333,73.1333
Kalkaji Devi,28.5485,77.2513
Kendrapara,20.5,86.42
Kolkata,22.5675,88.37
Kota,25.18,75.83
Krishnanagar,23.4,88.5
Lucknow,26.85,80.95
Ludhiana,30.91,75.85
Madhavaram,13.1482,80.2314
Madipakkam,12.9623,80.1986
Madurai,9.9252,78.1198
Manali,13.1667,80.2667
Meerut,28.98,77.71
Mirzapur,25.146,82.569
Mumbai,19.0761,72.8775
Muzaffarpur,26.1225,85.3906
Nagpur,21.1497,79.0806
Nagtala,22.3693,88.6071
Najafgarh,28.6092,76.9798
Nangloi Jat,28.6833,77.0667
Nasik,20,73.78
Nerkunram,13.0667,80.2833
New Delhi,28.6139,77.209
Oulgaret,11.957,79.7737
Pall?varam,12.9675,80.1491
Pallavaram,12.9675,80.1491
Pappakurichi,10.8137,78.7481
Patna,25.6,85.1
Prayagraj,25.4358,81.8464
Puducherry,11.9167,79.8167
Pune,18.5203,73.8567
Puri,19.8106,85.8314
Raipur,21.25,81.63
Rajkot,22.3,70.7833
Ranchi,23.36,85.33
Sabalpur,25.6053,85.1835
Salt Lake City,22.61,88.4
Salua,22.61,88.27
Secunderabad,17.4399,78.4983
Shimla,31.1033,77.1722
Shrirampur,22.75,88.34
Sijua,23.7692,86.1673
Srinagar,34.09,74.79
Sultanpur Mazra,28.6981,77.0689
Surat,21.1702,72.8311
Thane,19.1972,72.9722
Tiruvottiyar,13.16,80.3
Titagarh,22.74,88.37
Vadodara,22.3,73.2
Varanasi,25.3189,83.0128
Vasai,19.47,72.8
Vijayavada,16.5193,80.6305
Vishakhapatnam,17.7042,83.2978
Yelahanka,13.1007,77.5963
